FIN-ID #,ORGANIZATION,NAME OF EVENT,DATE,VENUE,AWARDED,TRANSACTION ID,UPDATED
23814,Sunny Angels at UC San Diego,Sunny Angels GBM,10/06/2025 12:00 AM,Price Center Warren Room,$255.80,,5/30/2025 10:59:55 PM
23838,Alpha Lambda Mu,ALM Info Night,10/06/2025 12:00 AM,Green Table Room,$301.69,,5/29/2025 7:32:08 PM
23866,Biomedical Engineering Society (BMES),Outreach First Committee Meeting,10/06/2025 12:00 AM,PFBH Room 391,$118.23,,5/30/2025 11:45:38 PM
23870,Biomedical Engineering Society (BMES),Bioengineering Day First Committee Meeting,10/06/2025 12:00 AM,Powell-Focht Bioengineering Hall Rm 291,$119.35,,5/30/2025 11:48:16 PM
23891,Indian Student Association,Mishka Jethwani,10/06/2025 12:00 AM,Price Center - Bear Room,$594.78,,5/30/2025 1:40:38 PM
23965,NanoEngineering and Technology Society,NETS LinkedIn Workshop,10/06/2025 12:00 AM,Red Shoe Room,$309.78,,5/30/2025 9:54:23 PM
* 23711,American Medical Student Association,AMSA Fall GBM #1,10/07/2025 12:00 AM,price center ballroom West AB,$814.59,,9/21/2025 10:34:42 AM
* 23779,Undergraduate Women in Computing at UC San Diego,Art Swap: Create and Connect,10/07/2025 12:00 AM,CSE B225,$24.85,,5/27/2025 10:26:34 PM
23751,Cognitive Science Student Association,CSSA Fall GBM #1,10/07/2025 12:00 AM,Price Theater,"$1,170.17",,5/18/2025 9:03:03 PM
23757,AI Student Collective @ UC San Diego,AI Student Collective Fall Quarter GBM,10/07/2025 12:00 AM,"Bear Room, Price Center",$180.47,,5/30/2025 1:30:17 PM
23765,Malaysian Student Association,Fall GBM #1,10/07/2025 12:00 AM,Dolores Huerta - Philip Vera Cruz Room,$400.00,,5/28/2025 3:20:43 PM
23770,Pre-Medical APAMSA at UC San Diego,GBM 1: What I Wish I Knew,10/07/2025 12:00 AM,Price Center - ERC Room,$388.93,,5/28/2025 10:41:50 AM
23792,M.E.M.O. at UC San Diego,M.E.M.O. Fall GBM #1,10/07/2025 12:00 AM,East Ballroom,"$1,013.99",,5/28/2025 7:08:43 PM
23793,"Out in Science, Technology, Engineering, and Mathematics (oSTEM)",oSTEM Fall 2025 GBM 1: Board Games and Boba,10/07/2025 12:00 AM,LGBT Resource Center,$356.97,,5/28/2025 7:25:17 PM
23795,San Diego Injury Prevention Program,SDIPP Fall GBM,10/07/2025 12:00 AM,Price Center Bear Room,$474.35,,5/28/2025 8:26:13 PM
23813,Society of Women Engineers (SWE),SWE Fall GBM 1,10/07/2025 12:00 AM,Henry Booker Room (Jacobs Hall),$615.04,,5/29/2025 3:01:49 PM
23833,Triton Business Society,Triton Business Society FA25 Recruitment - Speed Dating,10/07/2025 12:00 AM,"Seventh College Rooms 15A, 15B, 15C",$700.00,,5/29/2025 6:25:25 PM
23840,Graphite,Graphite Week 2 GBM,10/07/2025 12:00 AM,NSB Auditorium,$150.00,,5/29/2025 7:52:40 PM
23859,Triton Droids,Triton Droids GBM,10/07/2025 12:00 AM,Price Center Forum,$480.00,,5/30/2025 1:19:58 AM
23863,Biomedical Engineering Society (BMES),Lab Expo First Committee Meeting,10/07/2025 12:00 AM,Powell-Focht Bioengineering Hall Rm 291,$135.77,,5/30/2025 11:43:02 PM
