Organization_ID,Organization_Name
NIGERIAN_STU_ASSOC_AT_UC_SAN_D_01,Nigerian Student Association at UC San Diego
NIKKEI_STU_UNION_01,Nikkei Student Union
NONTRADITIONAL_STUS_ASSOC_THE_01,"Non-Traditional Students Association, The"
NUEVA_HERENCIA_DE_UC_SAN_DIEGO_01,Nueva Herencia de UC San Diego
ORIGAMI_FOLDERS_AT_UC_SAN_DIEG_01,Origami Folders at UC San Diego
OUT_IN_SCI_TECHNOLOGY_ENG_AND__01,"Out in Science, Technology, Engineering, and Mathematics (oSTEM)"
OVIPAROUS_01,Oviparous
PAKISTANI_STU_ASSOC_01,Pakistani Student Association
PANDORA_FORUM_AT_UC_SAN_DIEGO_01,Pandora Forum at UC San Diego
PANHELLENIC_ASSOC_01,Panhellenic Association
PARANORMAL_SOCIETY_01,Paranormal Society
PARTNERS_IN_HEALTH_ENGAGE_AT_U_01,Partners In Health Engage at UC San Diego
PERSIAN_AMERICAN_STU_ASSOC_01,Persian American Student Association
PHI_ALPHA_DELTA_01,Phi Alpha Delta
PHI_BETA_LAMBDA_AT_UC_SAN_DIEG_01,Phi Beta Lambda at UC San Diego
PHI_DELTA_EPSILON_COED_INTERNA_01,Phi Delta Epsilon Co-Ed International Medical Fraternity
PHI_DELTA_THETA_01,Phi Delta Theta
PHI_SIGMA_PI_01,Phi Sigma Pi
PILIPINO_UNDERGRADUATE_SOCIETY_01,Pilipino Undergraduate Society for Health
PILIPINX_UNDERGRADUATE_SOCIETY_01,Pilipinx Undergraduate Society for Health
POKER_CLUB_01,Poker Club
POLITICAL_VOICES_FOR_CHANGE_AT_01,Political Voices for Change At UC San Diego
POSEIDONS_CLOSET_01,Poseidon's Closet
PREMEDICAL_APAMSA_AT_UC_SAN_DI_01,Pre-Medical APAMSA at UC San Diego
PREPA_STU_ORG_PPASO_01,Pre-PA Student Organization (PPASO)
PREPHARMACY_SOCIETY_UC_SAN_DIE_01,Pre-Pharmacy Society @ UC San Diego
PRODUCT_SPACE_AT_UC_SAN_DIEGO_01,Product Space at UC San Diego
PROJECT_RISHI_01,Project RISHI
PROJECT_IN_A_BOX_01,Project in a Box
PSI_CHIPSYCHOLOGY_CLUB_01,Psi Chi/Psychology Club
PUBLIC_HEALTH_UNDERGRADUATE_OR_01,Public Health Undergraduate Organization at UC San Diego
PUSHPANJALI_01,Pushpanjali
QUANTUM_COMP_AT_UC_SAN_DIEGO_01,Quantum Computing at UC San Diego
RACK_N_ROLL_THE_POCKET_BILLIAR_01,Rack N’ Roll (The Pocket Billiards Club @ UC San Diego)
REDEEMERS_GRACE_CHURCH_ON_CAMP_01,Redeemer’s Grace Church on Campus at UC San Diego
ROBLOX_RBXDEV_AT_UC_SAN_DIEGO_01,Roblox + RBXDev at UC San Diego
ROCKET_PROPULSION_LABORATORY_01,Rocket Propulsion Laboratory
ROLE_PLAYING_GAMES_CLUB_01,Role Playing Games Club
