FIN-ID #,ORGANIZATION,NAME OF EVENT,DATE,VENUE,AWARDED,TRANSACTION ID,UPDATED,
20167,Student Involvement Leadership Consultant (SILC),Tasting Student Org,20231109T00:00:00Z                 11/09/2023 12:00 AM,Library Walk and Matthews Quad,"$4,433.31",,20230928T16:34:45Z                     9/28/2023 4:34:45 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
20168,Undergraduate Economics Society at UC San Diego,Learn how to set up your resume,20231115T00:00:00Z                 11/15/2023 12:00 AM,Wells Fargo Hall 1N108,$184.13,,20230928T17:47:59Z                     9/28/2023 5:47:59 PM,Final                                                                                                                                      Details
20169,Undergraduate Economics Society at UC San Diego,Linkedin Workshop,20231129T00:00:00Z                 11/29/2023 12:00 AM,Wells Fargo Hall 1N108,$184.13,,20230928T17:52:20Z                     9/28/2023 5:52:20 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
20173,Undergraduate Bioinformatics Club (UBIC),Mentor-Mentee 4-Year Planning Workshop,20231106T00:00:00Z                 11/06/2023 12:00 AM,Warren College Room,$366.35,,20230929T16:20:30Z                     9/29/2023 4:20:30 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
20174,Project in a Box,PiB Project Committee,20231106T00:00:00Z                 11/06/2023 12:00 AM,EnVision,$350.00,,20230929T18:09:55Z                     9/29/2023 6:09:55 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
20175,Project in a Box,PiB Project Committee,20231113T00:00:00Z                 11/13/2023 12:00 AM,EnVision,$350.00,,20230929T18:11:48Z                     9/29/2023 6:11:48 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
20176,Project in a Box,PiB Project Committee,20231120T00:00:00Z                 11/20/2023 12:00 AM,EnVision,$350.00,,20230929T18:14:01Z                     9/29/2023 6:14:01 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
20179,Triton Quantitative Trading,Anuj Jain,20231116T00:00:00Z                 11/16/2023 12:00 AM,Price Theatre,$346.61,,20230929T19:55:31Z                     9/29/2023 7:55:31 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
20180,Computer Science and Engineering Society,CSES Career Fair,20231107T00:00:00Z                 11/07/2023 12:00 AM,Ballroom East,$590.92,,20230929T20:26:17Z                     9/29/2023 8:26:17 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
20181,International Health Collective,General Body Meeting #2,20231108T00:00:00Z                 11/08/2023 12:00 AM,Dolores Huerta Room,$499.96,,20230929T20:29:36Z                     9/29/2023 8:29:36 PM,Final                                                                                                                                      Details
20182,Pakistani Student Association,PSA Fashion Show,20231109T00:00:00Z                 11/09/2023 12:00 AM,Multi-Purpose Room,$600.00,,20230929T23:22:45Z                     9/29/2023 11:22:45 PM,Final                                                                                                                                      Details
20183,Undergraduate Medical Scientist Training Program (UMSTP),UMSTP Special Event,20231121T00:00:00Z                 11/21/2023 12:00 AM,Red Shoe Room,$350.00,,20230930T14:25:12Z                     9/30/2023 2:25:12 PM,Final                                                                                                                                      Details
20184,Model United Nations at UC San Diego,UC Santa Barbara at UC Santa Barbara,20231116T00:00:00Z                 11/16/2023 12:00 AM,UC Santa Barbara,"$2,069.55",,20231001T14:17:48Z                     10/1/2023 2:17:48 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
20185,TritonThenix,Bodyrock TritonThenix Workshop,20231117T00:00:00Z                 11/17/2023 12:00 AM,Activity Room 1,$599.95,,20231005T16:12:05Z                     10/5/2023 4:12:05 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
20186,Biological Sciences Student Association,Professor-Student Mixer,20231114T00:00:00Z                 11/14/2023 12:00 AM,Bonner Hall 2130,$58.74,,20231002T21:57:58Z                     10/2/2023 9:57:58 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
20187,Paranormal Society,Open Mic Presentations,20231115T00:00:00Z                 11/15/2023 12:00 AM,Student Services Center,$100.00,,20231002T19:55:35Z                     10/2/2023 7:55:35 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
20188,NanoEngineering and Technology Society,NETS Game NIght,20231117T00:00:00Z                 11/17/2023 12:00 AM,Bear Room,$96.54,,20231003T16:13:15Z                     10/3/2023 4:13:15 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
20189,Saltman Quarterly,Saltman Quarterly GBM 1 + Fall Insider Launch Party,20231114T00:00:00Z                 11/14/2023 12:00 AM,Price Center Ballroom A,$592.63,,20231003T20:19:19Z                     10/3/2023 8:19:19 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
20190,Young Planners Society,Networking Info Session with Circulate San Diego,20231115T00:00:00Z                 11/15/2023 12:00 AM,RWAC 0424 (Conference room of Social Sciences Public Engagement Building),$139.83,,20231003T22:22:01Z                     10/3/2023 10:22:01 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
20191,Alpha Epsilon Delta Pre-Health Professional Honor Society,AED GBM 3 Fall 2023,20231115T00:00:00Z                 11/15/2023 12:00 AM,Student Center - Stage Room & Patio,$600.00,,20231003T22:20:07Z                     10/3/2023 10:20:07 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
20192,Undergraduate Medical Scientist Training Program (UMSTP),UMSTP EVENT,20231114T00:00:00Z                 11/14/2023 12:00 AM,Forum,$350.00,,20231004T10:24:03Z                     10/4/2023 10:24:03 AM,Final                                                                                                                                      Details
20193,Eta Kappa Nu (HKN),3D Web Graphics with ThreeJS,20231115T00:00:00Z                 11/15/2023 12:00 AM,Henry Booker Room,$219.81,,20231004T16:00:48Z                     10/4/2023 4:00:48 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
20194,Undergraduate Bioinformatics Club (UBIC),Game Night,20231114T00:00:00Z                 11/14/2023 12:00 AM,Red Shoe Room,$101.17,,20231004T19:52:38Z                     10/4/2023 7:52:38 PM,Final                                                                                                                                      Details
20196,Biological Sciences Student Association,BSSA Mentor-Mentee Reveal,20231113T00:00:00Z                 11/13/2023 12:00 AM,PC West Ballroom A,$455.14,,20231005T15:14:43Z                     10/5/2023 3:14:43 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
20199,Society of Women Engineers (SWE),WIC/SWE Social,20231117T00:00:00Z                 11/17/2023 12:00 AM,SME 248 ASML Conference Center,$177.79,,20231006T11:03:16Z                     10/6/2023 11:03:16 AM,Final                                                                                                                                      Details
20200,Pre-Medical APAMSA at UC San Diego,PATHsgiving Social,20231117T00:00:00Z                 11/17/2023 12:00 AM,Price Center - Red Shoe Room,$323.81,,20231006T17:54:24Z                     10/6/2023 5:54:24 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
20201,Biological Sciences Student Association,BSSA's Crash Course Series: Mock Interview Workshop,20231115T00:00:00Z                 11/15/2023 12:00 AM,Bonner Hall 2130,$307.73,,20231006T20:59:22Z                     10/6/2023 8:59:22 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
20202,Association for Computing Machinery (ACM),Bit-Byte Allocation,20231119T00:00:00Z                 11/19/2023 12:00 AM,CSE 1202 and Henry Booker Room,$600.00,,20231006T21:42:05Z                     10/6/2023 9:42:05 PM,Final                                                                                                                                      Details
20203,American Institute of Chemical Engineers (AIChE),FamilE Social,20231115T00:00:00Z                 11/15/2023 12:00 AM,SME 248,$187.49,,20231006T23:33:48Z                     10/6/2023 11:33:48 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
20204,Tritons in Recovery,Tritons in Recovery Movie Night,20231123T00:00:00Z                 11/23/2023 12:00 AM,Price Center Theater,$100.00,,20231007T11:26:22Z                     10/7/2023 11:26:22 AM,Final                                                                                                                                      Details
20205,Indian Student Association,Diwali Bash,20231111T00:00:00Z                 11/11/2023 12:00 AM,PC West Ballroom AB,"$3,498.00",,20231007T21:21:21Z                     10/7/2023 9:21:21 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
20207,Alpha Epsilon Delta Pre-Health Professional Honor Society,AED GBM 4: Symposium,20231122T00:00:00Z                 11/22/2023 12:00 AM,Price Center Ballroom East,$600.00,,20231008T17:18:38Z                     10/8/2023 5:18:38 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
20209,Ahlul-Bayt Student Association,ABSA Giveaway,20231130T00:00:00Z                 11/30/2023 12:00 AM,Bear Room,$350.00,,20231010T17:01:21Z                     10/10/2023 5:01:21 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
20210,Boardgames and Boba @ UC San Diego,Boardgames and Boba @ UC San Diego Club Meeting,20231127T00:00:00Z                 11/27/2023 12:00 AM,Price Center - Forum,$435.00,,20231012T21:44:42Z                     10/12/2023 9:44:42 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
20211,Pink Ribbon Initiative,Susan G Komen Poster Making Social,20231120T00:00:00Z                 11/20/2023 12:00 AM,Price Center - Revelle College Room,$100.00,,20231010T17:53:09Z                     10/10/2023 5:53:09 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
21212,Daughters of Triton,Daughters of Triton Fall Concert,20231203T00:00:00Z                 12/03/2023 12:00 AM,Price Center East Ballroom,$237.50,,20231010T22:53:17Z                     10/10/2023 10:53:17 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
21213,Eta Kappa Nu (HKN),HKN Basic Data Structures Introduction,20231121T00:00:00Z                 11/21/2023 12:00 AM,Henry Booker Room,$221.86,,20231010T23:11:41Z                     10/10/2023 11:11:41 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
21214,Society of Asian Scientists and Engineers at UC San Diego,Mentor-Mentee Event,20231124T00:00:00Z                 11/24/2023 12:00 AM,Qualcomm Conference Room,$101.50,,20231011T14:52:36Z                     10/11/2023 2:52:36 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
21215,Society of Women Engineers (SWE),Sukanya Krishna,20231121T00:00:00Z                 11/21/2023 12:00 AM,SME 248 ASML Conference Center,$598.26,,20231012T01:11:55Z                     10/12/2023 1:11:55 AM,Final                                                                                                                                      Details
21218,Eta Kappa Nu (HKN),HKN LinkedIn Workshop,20231130T00:00:00Z                 11/30/2023 12:00 AM,Henry Booker Room,$213.24,,20231018T15:29:56Z                     10/18/2023 3:29:56 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
21219,Eta Kappa Nu (HKN),HKN Arduino RFID,20231127T00:00:00Z                 11/27/2023 12:00 AM,CSE 4140,$275.84,,20231014T14:28:35Z                     10/14/2023 2:28:35 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
21221,Association for Computing Machinery (ACM),AI School 5,20231204T00:00:00Z                 12/04/2023 12:00 AM,ASML Room,$436.39,,20231015T11:17:00Z                     10/15/2023 11:17:00 AM,Final                                                                                                                                      Details                                                                                         Post-Eval
21222,Association for Computing Machinery (ACM),Wellness Workshop,20231130T00:00:00Z                 11/30/2023 12:00 AM,DIB 202/208,$174.56,,20231015T11:28:06Z                     10/15/2023 11:28:06 AM,Final                                                                                                                                      Details                                                                                         Post-Eval
21223,Eta Kappa Nu (HKN),HKN Movie Night,20231207T00:00:00Z                 12/07/2023 12:00 AM,Henry Booker Room,$128.19,,20231018T15:39:42Z                     10/18/2023 3:39:42 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
